"","R_fighter","B_fighter","Winner","date","R_Stance","B_Stance"
"374","Jose Aldo","Marlon Vera","Orthodox","12/19/2020","Orthodox","Switch"
"383","Jimmy Flick","Cody Durden","Orthodox","12/19/2020","Orthodox","Southpaw"
"390","Renato Moicano","Rafael Fiziev","Orthodox","12/12/2020","Switch","Orthodox"
"391","Gavin Tucker","Billy Quarantillo","Southpaw","12/12/2020","Southpaw","Orthodox"
"394","Jack Hermansson","Marvin Vettori","Southpaw","12/5/2020","Orthodox","Southpaw"
"396","Gabriel Benitez","Justin Jaynes","Southpaw","12/5/2020","Southpaw","Orthodox"
"398","Louis Smolka","Jose Quinonez","Orthodox","12/5/2020","Orthodox","Southpaw"
"399","Matt Wiman","Jordan Leavitt","Southpaw","12/5/2020","Orthodox","Southpaw"
"400","Ilia Topuria","Damon Jackson","Orthodox","12/5/2020","Orthodox","Switch"
"403","Miguel Baeza","Takashi Sato","Orthodox","11/28/2020","Orthodox","Southpaw"
"407","Jonathan Pearce","Kai Kamaka","Switch","11/28/2020","Switch","Orthodox"
"409","Gina Mazany","Rachael Ostovich","Southpaw","11/28/2020","Southpaw","Orthodox"
"410","Su Mudaerji","Malcolm Gordon","Southpaw","11/28/2020","Southpaw","Switch"
"411","Luke Sanders","Nate Maness","Orthodox","11/28/2020","Southpaw","Orthodox"
"413","Valentina Shevchenko","Jennifer Maia","Southpaw","11/21/2020","Southpaw","Orthodox"
"417","Brandon Moreno","Brandon Royval","Orthodox","11/21/2020","Orthodox","Southpaw"
"418","Joaquin Buckley","Jordan Wright","Southpaw","11/21/2020","Southpaw","Orthodox"
"419","Antonina Shevchenko","Ariane Lipski","Southpaw","11/21/2020","Southpaw","Orthodox"
"420","Daniel Rodriguez","Nicolas Dalby","Orthodox","11/21/2020","Southpaw","Orthodox"
"421","Alan Jouban","Jared Gooden","Southpaw","11/21/2020","Southpaw","Orthodox"
"422","Kyle Daukaus","Dustin Stoltzfus","Southpaw","11/21/2020","Southpaw","Orthodox"
"423","Louis Cosce","Sasha Palatnikov","Switch","11/21/2020","Orthodox","Switch"
"424","Paul Felder","Rafael Dos Anjos","Southpaw","11/14/2020","Orthodox","Southpaw"
"428","Ashley Yoder","Miranda Granger","Southpaw","11/14/2020","Southpaw","Orthodox"
"439","Alexandr Romanov","Marcos Rogerio de Lima","Southpaw","11/7/2020","Southpaw","Orthodox"
"443","Uriah Hall","Anderson Silva","Orthodox","10/31/2020","Orthodox","Southpaw"
"444","Bryce Mitchell","Andre Fili","Southpaw","10/31/2020","Southpaw","Orthodox"
"446","Kevin Holland","Charlie Ontiveros","Orthodox","10/31/2020","Orthodox","Switch"
"449","Adrian Yanez","Victor Rodriguez","Orthodox","10/31/2020","Orthodox","Switch"
"455","Robert Whittaker","Jared Cannonier","Orthodox","10/24/2020","Orthodox","Switch"
"456","Alexander Volkov","Walt Harris","Orthodox","10/24/2020","Orthodox","Southpaw"
"459","Magomed Ankalaev","Ion Cutelaba","Orthodox","10/24/2020","Orthodox","Southpaw"
"460","Stefan Struve","Tai Tuivasa","Southpaw","10/24/2020","Orthodox","Southpaw"
"461","Nathaniel Wood","Casey Kenney","Southpaw","10/24/2020","Orthodox","Southpaw"
"463","Liana Jojua","Miranda Maverick","Southpaw","10/24/2020","Orthodox","Southpaw"
"464","Joel Alvarez","Alexander Yakovlev","Orthodox","10/24/2020","Orthodox","Southpaw"
"465","Brian Ortega","Chan Sung Jung","Switch","10/17/2020","Switch","Orthodox"
"467","Jimmy Crute","Modestas Bukauskas","Orthodox","10/17/2020","Orthodox","Switch"
"468","Claudio Silva","James Krause","Orthodox","10/17/2020","Southpaw","Orthodox"
"470","Mateusz Gamrot","Guram Kutateladze","Orthodox","10/17/2020","Southpaw","Orthodox"
"472","Junyong Park","John Phillips","Orthodox","10/17/2020","Orthodox","Southpaw"
"475","Said Nurmagomedov","Mark Striegl","Orthodox","10/17/2020","Orthodox","Southpaw"
"476","Marlon Moraes","Cory Sandhagen","Switch","10/10/2020","Orthodox","Switch"
"477","Edson Barboza","Makwan Amirkhani","Orthodox","10/10/2020","Orthodox","Southpaw"
"481","Youssef Zalal","Ilia Topuria","Orthodox","10/10/2020","Switch","Orthodox"
"482","Tom Breese","KB Bhullar","Southpaw","10/10/2020","Southpaw","Orthodox"
"484","Impa Kasanganay","Joaquin Buckley","Southpaw","10/10/2020","Orthodox","Southpaw"
"485","Ali AlQaisi","Tony Kelley","Switch","10/10/2020","Orthodox","Switch"
"489","Holly Holm","Irene Aldana","Southpaw","10/3/2020","Southpaw","Orthodox"
"492","Kyler Phillips","Cameron Else","Orthodox","10/3/2020","Orthodox","Switch"
"495","Jordan Williams","Nassourdine Imavov","Orthodox","10/3/2020","Southpaw","Orthodox"
"496","Loma Lookboonmee","Jinh Yu Frey","Orthodox","10/3/2020","Orthodox","Southpaw"
"497","Casey Kenney","Heili Alateng","Southpaw","10/3/2020","Southpaw","Orthodox"
"499","Israel Adesanya","Paulo Costa","Switch","9/26/2020","Switch","Orthodox"
"500","Dominick Reyes","Jan Blachowicz","Orthodox","9/26/2020","Southpaw","Orthodox"
"501","Kai Kara-France","Brandon Royval","Southpaw","9/26/2020","Orthodox","Southpaw"
"505","Diego Sanchez","Jake Matthews","Orthodox","9/26/2020","Southpaw","Orthodox"
"506","Shane Young","Ludovit Klein","Southpaw","9/26/2020","Orthodox","Southpaw"
"511","Khamzat Chimaev","Gerald Meerschaert","Orthodox","9/19/2020","Orthodox","Southpaw"
"516","Mirsad Bektic","Damon Jackson","Switch","9/19/2020","Orthodox","Switch"
"518","Jessica-Rose Clark","Sarah Alpar","Orthodox","9/19/2020","Orthodox","Southpaw"
"520","Journey Newson","Randy Costa","Switch","9/19/2020","Orthodox","Switch"
"522","Tyson Nam","Jerome Rivera","Orthodox","9/19/2020","Orthodox","Southpaw"
"524","Ottman Azaitar","Khama Worthy","Switch","9/12/2020","Switch","Orthodox"
"526","Ed Herman","Mike Rodriguez","Orthodox","9/12/2020","Orthodox","Southpaw"
"527","Billy Quarantillo","Kyle Nelson","Orthodox","9/12/2020","Orthodox","Switch"
"530","Alexandr Romanov","Roque Martinez","Southpaw","9/12/2020","Southpaw","Orthodox"
"531","Bobby Green","Alan Patrick","Orthodox","9/12/2020","Orthodox","Southpaw"
"533","Bryan Barberena","Anthony Ivy","Southpaw","9/12/2020","Southpaw","Orthodox"
"536","Ovince Saint Preux","Alonzo Menifield","Southpaw","9/5/2020","Southpaw","Orthodox"
"538","Brian Kelleher","Ray Rodriguez","Switch","9/5/2020","Switch","Orthodox"
"539","Andre Muniz","Bartosz Fabinski","Southpaw","9/5/2020","Southpaw","Orthodox"
"543","Robbie Lawler","Neil Magny","Orthodox","8/29/2020","Southpaw","Orthodox"
"545","Ricardo Lamas","Bill Algeo","Orthodox","8/29/2020","Orthodox","Switch"
"548","Alessio Di Chirico","Zak Cummings","Southpaw","8/29/2020","Orthodox","Southpaw"
"549","Alex Caceres","Austin Springer","Southpaw","8/29/2020","Southpaw","Orthodox"
"551","Sean Brady","Christian Aguilera","Orthodox","8/29/2020","Orthodox","Switch"
"553","Marcin Prachnio","Mike Rodriguez","Southpaw","8/22/2020","Orthodox","Southpaw"
"554","Mariya Agapova","Shana Dobson","Orthodox","8/22/2020","Southpaw","Orthodox"
"555","Daniel Rodriguez","Dwight Grant","Southpaw","8/22/2020","Southpaw","Switch"
"556","Amanda Lemos","Mizuki Inoue","Southpaw","8/22/2020","Southpaw","Orthodox"
"560","Timur Valiev","Trevin Jones","Southpaw","8/22/2020","Orthodox","Southpaw"
"565","Jim Miller","Vinc Pichel","Orthodox","8/15/2020","Southpaw","Orthodox"
"566","Ashley Yoder","Livinha Souza","Orthodox","8/15/2020","Southpaw","Orthodox"
"569","TJ Brown","Danny Chavez","Orthodox","8/15/2020","Switch","Orthodox"
"575","Beneil Dariush","Scott Holtzman","Southpaw","8/8/2020","Southpaw","Orthodox"
"578","Nasrat Haqparast","Alex Munoz","Southpaw","8/8/2020","Southpaw","Switch"
"580","Gavin Tucker","Justin Jaynes","Southpaw","8/8/2020","Southpaw","Orthodox"
"581","Youssef Zalal","Peter Barrett","Switch","8/8/2020","Switch","Southpaw"
"582","Irwin Rivera","Ali Qaisi","Southpaw","8/8/2020","Southpaw","Orthodox"
"583","Derek Brunson","Edmen Shahbazyan","Southpaw","8/1/2020","Southpaw","Orthodox"
"587","Frankie Saenz","Jonathan Martinez","Southpaw","8/1/2020","Orthodox","Southpaw"
"590","Robert Whittaker","Darren Till","Orthodox","7/25/2020","Orthodox","Southpaw"
"591","Mauricio Rua","Rogerio Nogueira","Orthodox","7/25/2020","Orthodox","Southpaw"
"595","Alex Oliveira","Peter Sobotta","Orthodox","7/25/2020","Orthodox","Southpaw"
"597","Francisco Trinaldo","Jai Herbert","Southpaw","7/25/2020","Southpaw","Orthodox"
"598","Nicolas Dalby","Jesse Ronson","Southpaw","7/25/2020","Orthodox","Southpaw"
"603","Ramazan Emeev","Niklas Stolze","Southpaw","7/25/2020","Southpaw","Switch"
"604","Nathaniel Wood","John Castaneda","Orthodox","7/25/2020","Orthodox","Switch"
"605","Deiveson Figueiredo","Joseph Benavidez","Orthodox","7/18/2020","Orthodox","Southpaw"
"606","Jack Hermansson","Kelvin Gastelum","Orthodox","7/18/2020","Orthodox","Southpaw"
"607","Marc Diakiese","Rafael Fiziev","Switch","7/18/2020","Orthodox","Switch"
"611","Grant Dawson","Nad Narimani","Switch","7/18/2020","Switch","Orthodox"
"613","Brett Johns","Montel Jackson","Orthodox","7/18/2020","Orthodox","Southpaw"
"614","Malcolm Gordon","Amir Albazi","Orthodox","7/18/2020","Switch","Orthodox"
"618","Tim Elliott","Ryan Benoit","Southpaw","7/15/2020","Southpaw","Orthodox"
"622","John Phillips","Khamzat Chimaev","Orthodox","7/15/2020","Southpaw","Orthodox"
"624","Modestas Bukauskas","Andreas Michailidis","Switch","7/15/2020","Switch","Orthodox"
"627","Jack Shore","Aaron Phillips","Orthodox","7/15/2020","Orthodox","Southpaw"
"628","Kamaru Usman","Jorge Masvidal","Switch","7/11/2020","Switch","Orthodox"
"630","Petr Yan","Jose Aldo","Switch","7/11/2020","Switch","Orthodox"
"635","Makwan Amirkhani","Danny Henry","Southpaw","7/11/2020","Southpaw","Orthodox"
"638","Raulian Paiva","Zhalgas Zhamagulov","Orthodox","7/11/2020","Orthodox","Switch"
"641","Dustin Poirier","Dan Hooker","Southpaw","6/27/2020","Southpaw","Switch"
"642","Mike Perry","Mickey Gall","Orthodox","6/27/2020","Orthodox","Switch"
"643","Brendan Allen","Kyle Daukaus","Orthodox","6/27/2020","Orthodox","Southpaw"
"645","Luis Pena","Khama Worthy","Orthodox","6/27/2020","Southpaw","Orthodox"
"646","Mara Romero Borella","Miranda Maverick","Orthodox","6/27/2020","Orthodox","Southpaw"
"648","Sean Woodson","Julian Erosa","Southpaw","6/27/2020","Orthodox","Southpaw"
"649","Takashi Sato","Jason Witt","Southpaw","6/27/2020","Southpaw","Orthodox"
"651","Jordan Griffin","Youssef Zalal","Switch","6/27/2020","Southpaw","Switch"
"656","Jim Miller","Roosevelt Roberts","Southpaw","6/20/2020","Southpaw","Orthodox"
"658","Tecia Torres","Brianna Van Buren","Orthodox","6/20/2020","Orthodox","Southpaw"
"659","Marc-Andre Barriault","Oskar Piechota","Orthodox","6/20/2020","Orthodox","Southpaw"
"666","Charles Rosa","Kevin Aguilar","Switch","6/13/2020","Switch","Orthodox"
"667","Andre Fili","Charles Jourdain","Orthodox","6/13/2020","Orthodox","Switch"
"669","Mariya Agapova","Hannah Cifers","Southpaw","6/13/2020","Southpaw","Orthodox"
"671","Julia Avila","Gina Mazany","Orthodox","6/13/2020","Orthodox","Southpaw"
"672","Tyson Nam","Zarrukh Adashev","Orthodox","6/13/2020","Orthodox","Southpaw"
"673","Anthony Ivy","Christian Aguilera","Switch","6/13/2020","Orthodox","Switch"
"676","Aljamain Sterling","Cory Sandhagen","Orthodox","6/6/2020","Orthodox","Switch"
"678","Eddie Wineland","Sean O'Malley","Switch","6/6/2020","Orthodox","Switch"
"680","Ian Heinisch","Gerald Meerschaert","Orthodox","6/6/2020","Orthodox","Southpaw"
"681","Cody Stamann","Brian Kelleher","Orthodox","6/6/2020","Orthodox","Switch"
"685","Evan Dunham","Herbert Burns","Orthodox","6/6/2020","Southpaw","Orthodox"
"687","Blagoy Ivanov","Augusto Sakai","Orthodox","5/30/2020","Southpaw","Orthodox"
"688","Billy Quarantillo","Spike Carlyle","Orthodox","5/30/2020","Orthodox","Switch"
"689","Roosevelt Roberts","Brok Weaver","Orthodox","5/30/2020","Orthodox","Southpaw"
"691","Katlyn Chookagian","Antonina Shevchenko","Orthodox","5/30/2020","Orthodox","Southpaw"
"692","Daniel Rodriguez","Gabe Green","Southpaw","5/30/2020","Southpaw","Switch"
